customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,InternetService,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Churn
CUST-0000,Male,0,No,No,66,Yes,Fiber optic,Two year,Yes,Electronic check,19.72,1119.41,No,No,No,Yes,No,No,Yes,0
CUST-0001,Female,1,No,No,24,Yes,Fiber optic,Month-to-month,No,Bank transfer (automatic),57.94,1126.07,Yes,No,Yes,No,No,No,No,1
CUST-0002,Male,0,No,No,60,Yes,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),24.45,1209.55,No,Yes,No,Yes,No,No,No,0
CUST-0003,Male,0,Yes,No,25,Yes,No,Two year,No,Credit card (automatic),98.55,2949.61,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0
CUST-0004,Male,0,Yes,No,33,Yes,Fiber optic,Month-to-month,Yes,Electronic check,111.6,4301.17,No,Yes,No,No,No,No,No,0
CUST-0005,Female,1,Yes,No,8,Yes,Fiber optic,Two year,Yes,Electronic check,47.98,320.01,No,Yes,Yes,Yes,No,Yes,No,1
CUST-0006,Male,0,Yes,Yes,39,Yes,Fiber optic,Month-to-month,Yes,Credit card (automatic),83.65,2830.58,No,No,No,No,Yes,No,Yes,0
CUST-0007,Male,0,Yes,No,6,Yes,DSL,Month-to-month,Yes,Electronic check,27.15,191.39,Yes,Yes,No,No,Yes,No,No,0
CUST-0008,Male,0,Yes,No,29,Yes,Fiber optic,Two year,Yes,Electronic check,54.78,1459.17,No,No,Yes,No,Yes,No,No,0
CUST-0009,Female,0,Yes,Yes,65,Yes,Fiber optic,Two year,Yes,Credit card (automatic),76.13,5374.21,Yes,No,Yes,No,No,No,No,0
CUST-0010,Male,0,Yes,Yes,29,Yes,DSL,Month-to-month,Yes,Mailed check,28.72,712.75,Yes,Yes,Yes,Yes,Yes,No,No,0
CUST-0011,Male,0,Yes,No,67,Yes,Fiber optic,Month-to-month,Yes,Electronic check,56.15,3616.4,No,Yes,No,No,Yes,No,No,0
CUST-0012,Male,0,No,No,57,Yes,No,Month-to-month,Yes,Credit card (automatic),114.25,6046.68,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0
CUST-0013,Male,0,No,Yes,54,Yes,No,Month-to-month,No,Credit card (automatic),34.94,2237.78,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0
CUST-0014,Female,0,Yes,No,13,Yes,No,One year,No,Credit card (automatic),80.58,938.15,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0
CUST-0015,Male,0,Yes,No,36,Yes,DSL,Month-to-month,Yes,Electronic check,102.0,4164.84,No,No,No,No,Yes,No,Yes,1
CUST-0016,Female,0,Yes,Yes,43,Yes,DSL,Month-to-month,No,Electronic check,95.75,4354.52,Yes,Yes,No,No,No,Yes,No,0
CUST-0017,Female,0,No,Yes,5,No,Fiber optic,Two year,Yes,Mailed check,95.77,568.4,No phone service,No,Yes,No,Yes,No,No,0
CUST-0018,Female,1,Yes,No,25,Yes,DSL,Two year,No,Mailed check,24.19,631.13,Yes,No,No,Yes,No,No,No,0
CUST-0019,Male,0,No,No,13,Yes,Fiber optic,Month-to-month,Yes,Mailed check,116.1,1437.76,No,Yes,Yes,No,Yes,No,Yes,1
CUST-0020,Female,1,Yes,No,7,Yes,DSL,Month-to-month,Yes,Credit card (automatic),91.33,515.49,No,Yes,Yes,Yes,No,No,Yes,1
CUST-0021,Male,0,Yes,No,23,Yes,Fiber optic,Month-to-month,No,Electronic check,114.16,2982.48,No,Yes,Yes,No,Yes,No,No,1
CUST-0022,Female,0,Yes,Yes,38,Yes,DSL,Two year,No,Bank transfer (automatic),116.67,3749.67,No,No,No,Yes,No,Yes,Yes,0
CUST-0023,Female,1,Yes,No,48,Yes,Fiber optic,Month-to-month,No,Credit card (automatic),54.13,2138.91,Yes,No,No,Yes,No,Yes,No,1
CUST-0024,Female,0,No,No,62,Yes,No,Month-to-month,Yes,Mailed check,72.86,4607.6,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0
CUST-0025,Female,0,No,No,25,Yes,No,Month-to-month,Yes,Mailed check,91.56,2013.87,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0
CUST-0026,Female,0,No,No,9,Yes,No,Month-to-month,Yes,Bank transfer (automatic),103.58,1025.97,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0
CUST-0027,Female,0,No,Yes,57,Yes,Fiber optic,Month-to-month,No,Electronic check,115.83,7499.88,No,No,No,No,Yes,Yes,Yes,0
CUST-0028,Female,0,No,No,13,Yes,No,Month-to-month,Yes,Bank transfer (automatic),116.18,1702.85,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1
CUST-0029,Female,0,No,Yes,72,Yes,Fiber optic,One year,No,Electronic check,51.19,4399.83,Yes,No,No,No,No,No,Yes,0
CUST-0030,Male,0,Yes,Yes,70,Yes,Fiber optic,Month-to-month,No,Electronic check,86.64,7151.77,No,No,No,No,No,No,Yes,1
CUST-0031,Male,0,Yes,No,38,Yes,No,Two year,Yes,Credit card (automatic),33.02,1244.96,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0
CUST-0032,Female,0,Yes,Yes,30,Yes,DSL,Month-to-month,No,Electronic check,99.71,3467.23,Yes,No,No,No,Yes,Yes,No,1
CUST-0033,Female,0,No,No,49,Yes,No,Month-to-month,Yes,Bank transfer (automatic),34.28,1730.02,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0
CUST-0034,Female,0,Yes,Yes,15,Yes,Fiber optic,One year,Yes,Credit card (automatic),107.76,1396.23,No,No,Yes,Yes,No,No,No,0
CUST-0035,Male,0,No,Yes,71,Yes,DSL,Month-to-month,No,Electronic check,116.65,7762.46,No,No,No,No,No,No,No,0
CUST-0036,Female,1,Yes,No,50,Yes,DSL,Month-to-month,Yes,Bank transfer (automatic),26.93,1463.8,Yes,Yes,No,No,Yes,Yes,Yes,0
CUST-0037,Male,0,No,Yes,14,Yes,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),69.74,849.19,No,No,No,No,No,Yes,No,0
CUST-0038,Male,1,Yes,Yes,37,Yes,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),44.86,1440.23,No,Yes,No,No,Yes,No,No,0
CUST-0039,Male,0,Yes,No,70,Yes,Fiber optic,Month-to-month,No,Electronic check,65.49,3768.47,Yes,Yes,No,Yes,Yes,No,Yes,0
CUST-0040,Male,0,No,Yes,71,No,DSL,One year,Yes,Electronic check,47.77,2918.18,No phone service,No,No,No,No,Yes,No,0
CUST-0041,Male,0,Yes,Yes,20,Yes,DSL,Two year,Yes,Electronic check,24.85,583.76,No,No,Yes,No,No,No,No,0
CUST-0042,Female,0,No,No,15,Yes,Fiber optic,One year,Yes,Electronic check,57.86,756.91,No,No,No,No,No,Yes,Yes,0
CUST-0043,Female,0,Yes,Yes,66,Yes,DSL,One year,No,Mailed check,38.81,2857.63,Yes,No,Yes,Yes,No,No,Yes,0
CUST-0044,Female,0,Yes,No,64,Yes,DSL,Two year,No,Credit card (automatic),73.45,5008.39,Yes,No,No,Yes,No,Yes,Yes,0
CUST-0045,Female,0,No,Yes,12,Yes,DSL,Two year,Yes,Bank transfer (automatic),86.65,905.01,No,Yes,No,Yes,No,No,No,0
CUST-0046,Female,1,No,Yes,63,Yes,DSL,Month-to-month,Yes,Electronic check,58.98,3562.79,No,Yes,No,Yes,Yes,No,No,0
CUST-0047,Male,0,Yes,No,60,Yes,Fiber optic,One year,Yes,Credit card (automatic),38.72,2273.73,Yes,No,No,Yes,No,No,No,0
CUST-0048,Female,0,No,No,31,Yes,DSL,Month-to-month,Yes,Bank transfer (automatic),37.52,1326.11,No,Yes,No,Yes,Yes,Yes,No,0
CUST-0049,Female,0,No,Yes,11,Yes,No,One year,Yes,Mailed check,18.49,210.34,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0
CUST-0050,Male,0,No,No,40,Yes,Fiber optic,Month-to-month,Yes,Mailed check,88.84,3246.99,No,Yes,No,No,Yes,Yes,No,0
CUST-0051,Female,0,Yes,Yes,65,Yes,Fiber optic,Month-to-month,Yes,Credit card (automatic),43.69,2645.11,Yes,No,No,Yes,No,No,Yes,0
CUST-0052,Male,0,Yes,Yes,7,Yes,Fiber optic,Month-to-month,No,Mailed check,115.81,915.63,Yes,No,No,Yes,Yes,Yes,No,0
CUST-0053,Female,1,No,No,58,Yes,Fiber optic,One year,No,Mailed check,93.33,5664.47,Yes,No,No,Yes,No,No,No,0
CUST-0054,Male,0,No,Yes,24,Yes,Fiber optic,One year,Yes,Bank transfer (automatic),47.94,1211.12,No,No,No,No,No,Yes,Yes,0
CUST-0055,Female,0,No,No,4,Yes,DSL,One year,Yes,Bank transfer (automatic),34.22,156.66,Yes,No,No,Yes,No,Yes,Yes,1
CUST-0056,Female,0,Yes,Yes,44,Yes,DSL,Month-to-month,No,Electronic check,81.0,3361.22,No,Yes,No,No,Yes,No,Yes,1
CUST-0057,Male,0,Yes,No,1,Yes,Fiber optic,Two year,No,Credit card (automatic),105.14,116.67,Yes,Yes,No,No,No,Yes,No,0
CUST-0058,Male,0,No,No,41,Yes,DSL,Month-to-month,Yes,Electronic check,76.97,3143.67,No,No,Yes,No,No,Yes,No,0
CUST-0059,Male,0,Yes,No,37,No,DSL,Two year,No,Bank transfer (automatic),19.35,583.81,No phone service,No,No,No,No,Yes,Yes,0
CUST-0060,Male,0,Yes,Yes,2,Yes,Fiber optic,Two year,No,Mailed check,97.27,163.63,No,No,Yes,No,Yes,No,No,0
CUST-0061,Male,0,Yes,No,45,Yes,Fiber optic,Month-to-month,Yes,Electronic check,115.15,4301.21,No,No,No,No,Yes,No,No,1
CUST-0062,Male,0,No,No,21,Yes,Fiber optic,Month-to-month,Yes,Credit card (automatic),23.02,426.05,Yes,No,No,No,Yes,No,No,1
CUST-0063,Male,0,Yes,No,32,Yes,No,Month-to-month,No,Electronic check,99.57,3800.5,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1
CUST-0064,Male,0,No,No,31,Yes,DSL,Two year,Yes,Bank transfer (automatic),90.51,2657.88,No,Yes,Yes,Yes,No,No,Yes,0
CUST-0065,Female,0,No,No,16,Yes,No,Two year,Yes,Bank transfer (automatic),58.2,992.43,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0
CUST-0066,Female,0,No,No,55,Yes,Fiber optic,Month-to-month,Yes,Mailed check,81.97,5157.7,Yes,Yes,Yes,Yes,No,No,No,0
CUST-0067,Male,1,Yes,No,2,Yes,DSL,Month-to-month,Yes,Electronic check,34.21,60.32,No,No,Yes,No,No,No,No,1
